epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1571.77,1.53259,0.943,0.00558,0.83618,0.71669,0.82911,0.51955,1.3189,0.77184,0.00698,0.00098525,0.00098525,0.00098525
43,1596.73,1.51212,0.93,0.00564,0.82611,0.7241,0.83137,0.51248,1.34188,0.78474,0.00709,0.0009605,0.0009605,0.0009605
44,1621.29,1.52804,0.96939,0.00561,0.83505,0.74465,0.84064,0.52597,1.32563,0.75809,0.00705,0.00093575,0.00093575,0.00093575
45,1646.01,1.52574,0.9437,0.00568,0.81971,0.73972,0.83419,0.53258,1.29368,0.75723,0.00679,0.000911,0.000911,0.000911
46,1670.53,1.48766,0.90299,0.00536,0.83632,0.72821,0.83106,0.51899,1.33074,0.75838,0.00715,0.00088625,0.00088625,0.00088625
47,1694.86,1.49863,0.89408,0.00558,0.83817,0.73897,0.8325,0.52336,1.31841,0.75364,0.00698,0.0008615,0.0008615,0.0008615
48,1721.16,1.49951,0.90226,0.00545,0.8352,0.73273,0.83271,0.51969,1.32825,0.75026,0.00704,0.00083675,0.00083675,0.00083675
49,1745.99,1.49599,0.89359,0.0054,0.8356,0.73396,0.83374,0.52498,1.29988,0.75321,0.00698,0.000812,0.000812,0.000812
50,1770.49,1.47241,0.87556,0.00536,0.83718,0.7442,0.8391,0.52878,1.31862,0.75501,0.00698,0.00078725,0.00078725,0.00078725
51,1795.02,1.47795,0.88616,0.00524,0.85547,0.7389,0.84365,0.5346,1.30158,0.74901,0.00694,0.0007625,0.0007625,0.0007625
52,1819.52,1.4603,0.86279,0.00531,0.84959,0.73561,0.84052,0.524,1.29843,0.75999,0.00667,0.00073775,0.00073775,0.00073775
53,1844.94,1.46961,0.86136,0.0053,0.87614,0.73479,0.84475,0.54156,1.2647,0.75533,0.00658,0.000713,0.000713,0.000713
54,1869.73,1.4768,0.85092,0.00536,0.84718,0.75781,0.84589,0.53687,1.26675,0.74669,0.00659,0.00068825,0.00068825,0.00068825
55,1894.26,1.45679,0.86108,0.00524,0.8457,0.76645,0.85332,0.54487,1.27525,0.69898,0.00668,0.0006635,0.0006635,0.0006635
56,1919.22,1.44281,0.85864,0.00515,0.8579,0.74465,0.84753,0.54,1.26249,0.73879,0.00647,0.00063875,0.00063875,0.00063875
57,1944.07,1.47135,0.84492,0.00523,0.85328,0.74507,0.84371,0.54421,1.25239,0.73574,0.00642,0.000614,0.000614,0.000614
58,1969.43,1.4724,0.82754,0.00508,0.84593,0.76151,0.84607,0.53064,1.28802,0.72448,0.00663,0.00058925,0.00058925,0.00058925
59,1994.63,1.4802,0.85682,0.00516,0.86855,0.72811,0.83895,0.53026,1.27678,0.75454,0.0066,0.0005645,0.0005645,0.0005645
60,2019.47,1.44581,0.84646,0.00514,0.86003,0.74548,0.84805,0.54614,1.25083,0.72391,0.0064,0.00053975,0.00053975,0.00053975
61,2044.21,1.43833,0.82474,0.00506,0.86996,0.74918,0.84983,0.54281,1.26753,0.70937,0.00661,0.000515,0.000515,0.000515
62,2068.63,1.43927,0.80393,0.00517,0.85785,0.75436,0.84896,0.54595,1.2584,0.69988,0.0065,0.00049025,0.00049025,0.00049025
63,2093.17,1.43776,0.82528,0.00507,0.85634,0.75041,0.84756,0.54561,1.26109,0.70917,0.00655,0.0004655,0.0004655,0.0004655
64,2117.73,1.43146,0.80701,0.00512,0.85234,0.7389,0.84515,0.54798,1.26382,0.71544,0.00658,0.00044075,0.00044075,0.00044075
65,2142.39,1.40372,0.79519,0.00492,0.8712,0.75094,0.85305,0.55106,1.25918,0.70153,0.00655,0.000416,0.000416,0.000416
66,2166.36,1.41484,0.81069,0.00501,0.86562,0.76015,0.85234,0.55185,1.2556,0.70391,0.00647,0.00039125,0.00039125,0.00039125
67,2255.56,1.43241,0.80581,0.00507,0.85713,0.76645,0.85722,0.55229,1.25649,0.6727,0.00643,0.0003665,0.0003665,0.0003665
68,2352.33,1.41056,0.78815,0.005,0.86436,0.75991,0.8567,0.55635,1.25319,0.67773,0.00651,0.00034175,0.00034175,0.00034175
69,2446.01,1.3887,0.77434,0.00493,0.86027,0.75329,0.8488,0.55037,1.2516,0.69401,0.00651,0.000317,0.000317,0.000317
70,2471.19,1.37087,0.77156,0.00496,0.85332,0.76546,0.85372,0.5524,1.25858,0.6882,0.00656,0.00029225,0.00029225,0.00029225
71,2504.47,1.36818,0.71285,0.00547,0.85826,0.7611,0.85039,0.54769,1.27261,0.69392,0.00658,0.0002675,0.0002675,0.0002675
72,2529.3,1.35129,0.68068,0.00554,0.85404,0.76275,0.85074,0.54609,1.26572,0.70263,0.00661,0.00024275,0.00024275,0.00024275
73,2585.36,1.35582,0.6785,0.00543,0.84489,0.77049,0.85506,0.54966,1.25602,0.68744,0.00646,0.000218,0.000218,0.000218
74,2645.32,1.34316,0.68781,0.00536,0.85742,0.76398,0.85587,0.55131,1.25762,0.67735,0.00645,0.00019325,0.00019325,0.00019325
75,2670.22,1.33144,0.65478,0.00528,0.86454,0.7584,0.85252,0.5544,1.24799,0.68008,0.00641,0.0001685,0.0001685,0.0001685
76,2695.14,1.3069,0.65525,0.00523,0.87648,0.7648,0.86084,0.5564,1.2455,0.65113,0.00635,0.00014375,0.00014375,0.00014375
77,2720.18,1.30744,0.65375,0.00519,0.87648,0.76069,0.85714,0.55733,1.23898,0.66901,0.00632,0.000119,0.000119,0.000119
78,2744.86,1.32027,0.65619,0.00519,0.86163,0.77323,0.85763,0.55805,1.23854,0.66579,0.00635,9.425e-05,9.425e-05,9.425e-05
79,2769.61,1.3131,0.65482,0.00523,0.87263,0.76439,0.85771,0.55865,1.23624,0.66583,0.00633,6.95e-05,6.95e-05,6.95e-05
80,2794.34,1.32278,0.66223,0.0053,0.87711,0.76007,0.85891,0.55815,1.23171,0.66332,0.00627,4.475e-05,4.475e-05,4.475e-05
