epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1589.62,1.51272,0.96664,0.0056,0.8353,0.76439,0.83809,0.5331,1.28933,0.79274,0.00701,0.0014588,0.0014588,0.0014588
43,1716.94,1.46605,0.94274,0.00536,0.85683,0.75795,0.84171,0.52382,1.30479,0.78342,0.00709,0.0014456,0.0014456,0.0014456
44,1845.19,1.46601,0.94447,0.00559,0.82387,0.76742,0.83778,0.52978,1.30716,0.79602,0.00715,0.0014324,0.0014324,0.0014324
45,1978.51,1.4705,0.91784,0.00559,0.82763,0.76995,0.84071,0.52076,1.32767,0.77948,0.00713,0.0014192,0.0014192,0.0014192
46,2106.47,1.47897,0.92433,0.00544,0.85822,0.7611,0.83785,0.53508,1.28745,0.79696,0.00707,0.001406,0.001406,0.001406
47,2234.95,1.48954,0.94978,0.00564,0.86636,0.7437,0.84054,0.53031,1.32014,0.79068,0.00741,0.0013928,0.0013928,0.0013928
48,2364.84,1.47679,0.92046,0.00541,0.84777,0.76357,0.84434,0.53657,1.30884,0.75275,0.00713,0.0013796,0.0013796,0.0013796
49,2495.31,1.45122,0.91984,0.00531,0.85235,0.76432,0.85344,0.53731,1.2965,0.72929,0.007,0.0013664,0.0013664,0.0013664
50,2625.43,1.48589,0.92081,0.00542,0.8562,0.76384,0.85076,0.53499,1.31689,0.72298,0.00731,0.0013532,0.0013532,0.0013532
51,2757.9,1.46119,0.91863,0.00535,0.87036,0.75362,0.84426,0.52361,1.33514,0.7785,0.00728,0.00134,0.00134,0.00134
52,2836.46,1.46967,0.88577,0.00536,0.87026,0.76676,0.85496,0.53355,1.32329,0.72839,0.00722,0.0013268,0.0013268,0.0013268
53,2866.21,1.41972,0.84091,0.00523,0.85583,0.76521,0.84881,0.54293,1.27304,0.73167,0.00683,0.0013136,0.0013136,0.0013136
54,2896.2,1.46727,0.90018,0.00519,0.87442,0.75493,0.84398,0.54003,1.30091,0.73711,0.00705,0.0013004,0.0013004,0.0013004
55,2926.11,1.43714,0.88675,0.00529,0.8593,0.76316,0.84774,0.53887,1.29031,0.72786,0.00707,0.0012872,0.0012872,0.0012872
56,3018.86,1.42413,0.86346,0.00535,0.88271,0.73649,0.83831,0.54131,1.27897,0.79365,0.00707,0.001274,0.001274,0.001274
57,3148.45,1.44353,0.8836,0.00512,0.87195,0.76316,0.84599,0.54275,1.27674,0.75945,0.00686,0.0012608,0.0012608,0.0012608
58,3280.22,1.42325,0.8518,0.00506,0.86428,0.78577,0.85742,0.54658,1.27394,0.72181,0.00687,0.0012476,0.0012476,0.0012476
59,3362.51,1.45121,0.86645,0.00525,0.8888,0.77179,0.8545,0.54457,1.30085,0.74034,0.00714,0.0012344,0.0012344,0.0012344
60,3392.62,1.44039,0.88792,0.0052,0.8781,0.76357,0.8504,0.54408,1.30202,0.72203,0.00706,0.0012212,0.0012212,0.0012212
61,3422.89,1.39853,0.8487,0.00504,0.87159,0.7787,0.85466,0.54507,1.27779,0.72658,0.00688,0.001208,0.001208,0.001208
62,3452.98,1.42103,0.85739,0.00528,0.86113,0.77258,0.85121,0.54058,1.27866,0.72267,0.00682,0.0011948,0.0011948,0.0011948
63,3482.93,1.43927,0.87228,0.0051,0.8648,0.78372,0.86145,0.55579,1.25187,0.70576,0.00667,0.0011816,0.0011816,0.0011816
64,3513.05,1.42687,0.83101,0.00515,0.87655,0.77796,0.86017,0.55265,1.25476,0.70104,0.00679,0.0011684,0.0011684,0.0011684
65,3544.17,1.39937,0.81144,0.00501,0.8741,0.76974,0.85441,0.54305,1.27732,0.70928,0.0068,0.0011552,0.0011552,0.0011552
66,3574.42,1.39652,0.83624,0.00501,0.87015,0.78803,0.86183,0.5533,1.26815,0.69933,0.00684,0.001142,0.001142,0.001142
67,3604.83,1.39483,0.83276,0.00502,0.88919,0.76521,0.8585,0.55225,1.24539,0.70914,0.00675,0.0011288,0.0011288,0.0011288
68,3634.65,1.37747,0.8226,0.0051,0.88063,0.77957,0.86499,0.55534,1.26447,0.70591,0.00672,0.0011156,0.0011156,0.0011156
69,3664.49,1.40935,0.83759,0.005,0.87653,0.77673,0.85545,0.54534,1.26633,0.69755,0.00679,0.0011024,0.0011024,0.0011024
70,3694.46,1.36235,0.80245,0.00495,0.87643,0.78413,0.86401,0.55266,1.25917,0.69029,0.00681,0.0010892,0.0010892,0.0010892
71,3724.15,1.38888,0.80762,0.00501,0.88649,0.78166,0.86097,0.5532,1.26288,0.6942,0.00678,0.001076,0.001076,0.001076
72,3754.53,1.39311,0.80722,0.00506,0.87278,0.79646,0.86583,0.55434,1.27157,0.68149,0.00685,0.0010628,0.0010628,0.0010628
73,3785.36,1.36508,0.78893,0.00486,0.88656,0.7905,0.87113,0.56033,1.25086,0.66464,0.00669,0.0010496,0.0010496,0.0010496
74,3875.22,1.37013,0.78211,0.00485,0.87585,0.78577,0.86213,0.55241,1.27482,0.67921,0.00685,0.0010364,0.0010364,0.0010364
75,4004.83,1.37685,0.79149,0.00491,0.87771,0.78248,0.86732,0.56245,1.24878,0.6772,0.00673,0.0010232,0.0010232,0.0010232
76,4135.99,1.38563,0.78823,0.00486,0.86396,0.7903,0.86142,0.55755,1.23957,0.6891,0.00651,0.00101,0.00101,0.00101
77,4166.34,1.34246,0.76119,0.00477,0.888,0.76939,0.8641,0.56229,1.2322,0.68331,0.00646,0.0009968,0.0009968,0.0009968
78,4196.45,1.31763,0.74508,0.00488,0.88202,0.8014,0.87157,0.56478,1.22589,0.67808,0.00635,0.0009836,0.0009836,0.0009836
79,4286.6,1.32826,0.76562,0.00469,0.87466,0.78166,0.8636,0.56346,1.22576,0.7062,0.00653,0.0009704,0.0009704,0.0009704
